,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
0,59800,1.458,0.2227,10.83,304.29,178.93,358.82,2000433,1.76,9.4e-09,1.6e-10,1.2e-06,3.6e-06,4e-06,1e-07,   433 Eros (A898 PA),433,Eros (A898 PA)
1,59800,2.637,0.547,11.58,183.86,156.25,324.2,2000719,4.28,2.1e-08,2.5e-09,2.8e-06,1.5e-05,1.5e-05,2.2e-06,   719 Albert (A911 TB),719,Albert (A911 TB)
2,59800,2.473,0.5706,9.4,110.43,350.48,137.32,2000887,3.89,2.7e-08,3e-09,3.1e-06,2.3e-05,2.4e-05,2.6e-06,   887 Alinda (A918 AA),887,Alinda (A918 AA)
3,59800,2.666,0.5331,26.68,215.51,132.45,185.91,2001036,4.35,1.1e-08,1.9e-09,4.9e-07,1.1e-06,1.1e-06,1.7e-06,  1036 Ganymed (A924 UB),1036,Ganymed (A924 UB)
4,59800,1.919,0.4359,11.88,171.32,26.63,335.22,2001221,2.66,3.3e-08,9.5e-10,4.5e-06,2.1e-05,2.3e-05,7.2e-07,  1221 Amor (1932 EA1),1221,Amor (1932 EA1)
5,59800,1.078,0.8269,22.8,87.96,31.44,176.44,2001566,1.12,2.6e-08,2.9e-09,8.2e-06,3.4e-06,5.1e-06,1.7e-06,  1566 Icarus (1949 MA),1566,Icarus (1949 MA)
6,59800,2.197,0.4871,52.08,62.28,159.53,77.14,2001580,3.26,2.2e-08,3.5e-10,9.2e-06,2.5e-06,6.6e-06,2.8e-07,  1580 Betulia (1950 KA),1580,Betulia (1950 KA)
7,59800,1.246,0.3354,13.34,337.18,276.97,82.26,2001620,1.39,8.4e-09,8.3e-10,4.4e-07,2e-06,2.8e-06,5.1e-07,  1620 Geographos (1951 RA),1620,Geographos (1951 RA)
8,59800,1.863,0.3966,8.45,133.12,167.81,206.52,2001627,2.54,1.3e-08,1.8e-10,2.3e-06,1.4e-05,1.4e-05,1.4e-07,  1627 Ivar (1929 SH),1627,Ivar (1929 SH)
9,59800,1.368,0.436,9.38,274.23,127.21,63.33,2001685,1.6,3.8e-09,7.3e-10,4.3e-07,1.7e-06,2e-06,4.7e-07,  1685 Toro (1948 OA),1685,Toro (1948 OA)
10,59800,1.471,0.56,6.35,35.56,286.05,170.73,2001862,1.78,1.2e-08,4.8e-10,2.9e-06,1.7e-05,1.8e-05,3.2e-07,  1862 Apollo (1932 HA),1862,Apollo (1932 HA)
11,59800,2.259,0.6059,18.4,346.42,268.08,302.06,2001863,3.4,2.6e-08,1.6e-09,5.4e-06,1.1e-05,1.2e-05,1.3e-06,  1863 Antinous (1948 EA),1863,Antinous (1948 EA)
